antigenicity_score,antigen_prediction
0.6835,Probable Antigen
1.7247,Probable Antigen
0.038,Probable Non-Antigen
0.0723,Probable Non-Antigen
0.3272,Probable Non-Antigen
0.6466,Probable Antigen
1.1235,Probable Antigen
0.1062,Probable Non-Antigen
0.5166,Probable Antigen
1.3655,Probable Antigen
1.1353,Probable Antigen
1.2671,Probable Antigen
0.4494,Probable Non-Antigen
-0.0975,Probable Non-Antigen
-0.0191,Probable Non-Antigen
0.9697,Probable Antigen
2.096,Probable Antigen
0.5218,Probable Antigen
1.6401,Probable Antigen
0.5109,Probable Antigen
1.2064,Probable Antigen
0.5669,Probable Antigen
0.3656,Probable Non-Antigen
0.53,Probable Antigen
-0.0153,Probable Non-Antigen
1.0694,Probable Antigen
-0.5308,Probable Non-Antigen
-0.3753,Probable Non-Antigen
1.9195,Probable Antigen
-0.1444,Probable Non-Antigen
0.0935,Probable Non-Antigen
0.9345,Probable Antigen
0.1858,Probable Non-Antigen
0.9186,Probable Antigen
0.2277,Probable Non-Antigen
-0.0069,Probable Non-Antigen
0.6039,Probable Antigen
0.1328,Probable Non-Antigen
0.1185,Probable Non-Antigen
0.6105,Probable Antigen
0.5241,Probable Antigen
-0.4324,Probable Non-Antigen
0.1864,Probable Non-Antigen
0.2781,Probable Non-Antigen
0.3775,Probable Non-Antigen
0.4802,Probable Non-Antigen
0.8497,Probable Antigen
1.0701,Probable Antigen
1.3486,Probable Antigen
0.7463,Probable Antigen
0.4078,Probable Non-Antigen
0.5414,Probable Antigen
-0.324,Probable Non-Antigen
0.7391,Probable Antigen
0.7673,Probable Antigen
0.4748,Probable Non-Antigen
0.3743,Probable Non-Antigen
0.6381,Probable Antigen
0.8928,Probable Antigen
0.7783,Probable Antigen
0.7882,Probable Antigen
0.6085,Probable Antigen
-0.4784,Probable Non-Antigen
0.1938,Probable Non-Antigen
0.4147,Probable Non-Antigen
0.6859,Probable Antigen
0.8823,Probable Antigen
-0.3553,Probable Non-Antigen
0.5647,Probable Antigen
0.8051,Probable Antigen
0.579,Probable Antigen
0.599,Probable Antigen
0.0203,Probable Non-Antigen
-0.0944,Probable Non-Antigen
0.4302,Probable Non-Antigen
0.4156,Probable Non-Antigen
0.4734,Probable Non-Antigen
0.8116,Probable Antigen
1.2278,Probable Antigen
0.63,Probable Antigen
-0.5375,Probable Non-Antigen
0.2975,Probable Non-Antigen
-0.2829,Probable Non-Antigen
0.2855,Probable Non-Antigen
1.5509,Probable Antigen
0.2184,Probable Non-Antigen
0.7132,Probable Antigen
0.7107,Probable Antigen
0.6521,Probable Antigen
0.4569,Probable Non-Antigen
0.507,Probable Antigen
0.2391,Probable Non-Antigen
0.7282,Probable Antigen
0.414,Probable Non-Antigen
0.4106,Probable Non-Antigen
1.0802,Probable Antigen
1.2455,Probable Antigen
-0.1322,Probable Non-Antigen
0.686,Probable Antigen
0.3011,Probable Non-Antigen
-0.7401,Probable Non-Antigen
0.6171,Probable Antigen
