antigenicity_score,antigen_prediction
0.1359,Probable Non-Antigen
-0.1516,Probable Non-Antigen
0.0468,Probable Non-Antigen
0.4345,Probable Non-Antigen
0.1109,Probable Non-Antigen
0.1883,Probable Non-Antigen
0.8542,Probable Antigen
0.962,Probable Antigen
0.8838,Probable Antigen
0.5978,Probable Antigen
0.0192,Probable Non-Antigen
0.0318,Probable Non-Antigen
-0.1274,Probable Non-Antigen
0.3761,Probable Non-Antigen
0.1837,Probable Non-Antigen
-0.2022,Probable Non-Antigen
-0.0651,Probable Non-Antigen
0.1871,Probable Non-Antigen
0.5216,Probable Antigen
0.1655,Probable Non-Antigen
0.1094,Probable Non-Antigen
0.2345,Probable Non-Antigen
-0.1738,Probable Non-Antigen
-0.084,Probable Non-Antigen
-0.0219,Probable Non-Antigen
0.0395,Probable Non-Antigen
0.1537,Probable Non-Antigen
0.9662,Probable Antigen
0.9271,Probable Antigen
0.3722,Probable Non-Antigen
0.2439,Probable Non-Antigen
0.2532,Probable Non-Antigen
0.4242,Probable Non-Antigen
0.1018,Probable Non-Antigen
0.1516,Probable Non-Antigen
0.2041,Probable Non-Antigen
0.2704,Probable Non-Antigen
0.2681,Probable Non-Antigen
0.2898,Probable Non-Antigen
0.267,Probable Non-Antigen
1.091,Probable Antigen
1.383,Probable Antigen
-0.3638,Probable Non-Antigen
-0.2811,Probable Non-Antigen
-0.0642,Probable Non-Antigen
0.9254,Probable Antigen
0.7086,Probable Antigen
0.2649,Probable Non-Antigen
0.3861,Probable Non-Antigen
-0.1397,Probable Non-Antigen
-0.1902,Probable Non-Antigen
-0.0761,Probable Non-Antigen
0.1089,Probable Non-Antigen
0.2791,Probable Non-Antigen
0.1601,Probable Non-Antigen
0.6479,Probable Antigen
0.7423,Probable Antigen
0.4403,Probable Non-Antigen
0.633,Probable Antigen
0.37,Probable Non-Antigen
0.1834,Probable Non-Antigen
0.0709,Probable Non-Antigen
-0.1261,Probable Non-Antigen
0.1423,Probable Non-Antigen
0.5521,Probable Antigen
0.6429,Probable Antigen
0.5298,Probable Antigen
0.0402,Probable Non-Antigen
0.3016,Probable Non-Antigen
0.4575,Probable Non-Antigen
0.4502,Probable Non-Antigen
0.7043,Probable Antigen
0.7709,Probable Antigen
0.8306,Probable Antigen
0.8108,Probable Antigen
0.3044,Probable Non-Antigen
0.3168,Probable Non-Antigen
0.2826,Probable Non-Antigen
0.1644,Probable Non-Antigen
0.2083,Probable Non-Antigen
0.2069,Probable Non-Antigen
-0.171,Probable Non-Antigen
-0.156,Probable Non-Antigen
0.0188,Probable Non-Antigen
0.2488,Probable Non-Antigen
0.1437,Probable Non-Antigen
0.2949,Probable Non-Antigen
-0.0712,Probable Non-Antigen
0.2318,Probable Non-Antigen
0.0415,Probable Non-Antigen
0.1234,Probable Non-Antigen
0.2488,Probable Non-Antigen
0.1089,Probable Non-Antigen
0.4204,Probable Non-Antigen
0.2465,Probable Non-Antigen
0.1376,Probable Non-Antigen
0.2967,Probable Non-Antigen
-0.4022,Probable Non-Antigen
1.1732,Probable Antigen
0.7789,Probable Antigen
-0.4784,Probable Non-Antigen
-0.1775,Probable Non-Antigen
0.0427,Probable Non-Antigen
0.1598,Probable Non-Antigen
0.3856,Probable Non-Antigen
0.3177,Probable Non-Antigen
0.342,Probable Non-Antigen
0.6404,Probable Antigen
0.0988,Probable Non-Antigen
0.0761,Probable Non-Antigen
0.0622,Probable Non-Antigen
-0.0011,Probable Non-Antigen
0.6518,Probable Antigen
0.0193,Probable Non-Antigen
0.5697,Probable Antigen
0.7054,Probable Antigen
0.2007,Probable Non-Antigen
0.2375,Probable Non-Antigen
0.5414,Probable Antigen
0.44,Probable Non-Antigen
-0.1656,Probable Non-Antigen
0.0143,Probable Non-Antigen
0.0089,Probable Non-Antigen
-0.1578,Probable Non-Antigen
-0.0602,Probable Non-Antigen
-0.1712,Probable Non-Antigen
-0.1152,Probable Non-Antigen
0.1059,Probable Non-Antigen
0.2734,Probable Non-Antigen
0.1864,Probable Non-Antigen
0.2459,Probable Non-Antigen
0.1574,Probable Non-Antigen
0.1595,Probable Non-Antigen
0.1175,Probable Non-Antigen
-0.275,Probable Non-Antigen
-0.1474,Probable Non-Antigen
-0.0341,Probable Non-Antigen
0.3792,Probable Non-Antigen
0.5434,Probable Antigen
0.5275,Probable Antigen
0.3258,Probable Non-Antigen
0.7798,Probable Antigen
0.908,Probable Antigen
0.8821,Probable Antigen
-0.033,Probable Non-Antigen
0.8947,Probable Antigen
0.0031,Probable Non-Antigen
-0.3339,Probable Non-Antigen
-0.424,Probable Non-Antigen
0.7024,Probable Antigen
0.405,Probable Non-Antigen
0.3187,Probable Non-Antigen
0.3081,Probable Non-Antigen
