antigenicity_score,antigen_prediction
0.7505,Probable Antigen
0.0656,Probable Non-Antigen
0.1347,Probable Non-Antigen
0.1109,Probable Non-Antigen
0.3868,Probable Non-Antigen
0.2465,Probable Non-Antigen
0.7317,Probable Antigen
0.4945,Probable Non-Antigen
0.6305,Probable Antigen
1.321,Probable Antigen
0.2175,Probable Non-Antigen
-0.3638,Probable Non-Antigen
0.4316,Probable Non-Antigen
-0.4739,Probable Non-Antigen
0.0181,Probable Non-Antigen
-0.7998,Probable Non-Antigen
-0.0721,Probable Non-Antigen
1.4693,Probable Antigen
-0.2971,Probable Non-Antigen
0.2892,Probable Non-Antigen
0.5159,Probable Antigen
0.3554,Probable Non-Antigen
0.7223,Probable Antigen
0.5854,Probable Antigen
-0.0761,Probable Non-Antigen
0.4525,Probable Non-Antigen
0.2391,Probable Non-Antigen
0.2943,Probable Non-Antigen
0.553,Probable Antigen
0.5216,Probable Antigen
0.5777,Probable Antigen
0.4745,Probable Non-Antigen
0.5492,Probable Antigen
0.7705,Probable Antigen
0.1326,Probable Non-Antigen
0.1094,Probable Non-Antigen
0.3356,Probable Non-Antigen
0.0814,Probable Non-Antigen
0.0468,Probable Non-Antigen
0.2114,Probable Non-Antigen
0.5298,Probable Antigen
0.6354,Probable Antigen
0.2786,Probable Non-Antigen
0.862,Probable Antigen
1.1285,Probable Antigen
0.4571,Probable Non-Antigen
0.0325,Probable Non-Antigen
0.0643,Probable Non-Antigen
0.9671,Probable Antigen
0.5954,Probable Antigen
0.527,Probable Antigen
0.2574,Probable Non-Antigen
0.4312,Probable Non-Antigen
0.6608,Probable Antigen
0.6653,Probable Antigen
0.3807,Probable Non-Antigen
0.7248,Probable Antigen
0.7423,Probable Antigen
0.8569,Probable Antigen
0.4348,Probable Non-Antigen
0.4722,Probable Non-Antigen
0.749,Probable Antigen
0.4364,Probable Non-Antigen
0.5771,Probable Antigen
0.2554,Probable Non-Antigen
0.3884,Probable Non-Antigen
0.8197,Probable Antigen
0.0193,Probable Non-Antigen
0.2332,Probable Non-Antigen
0.0841,Probable Non-Antigen
1.1187,Probable Antigen
-0.0219,Probable Non-Antigen
0.2378,Probable Non-Antigen
0.2311,Probable Non-Antigen
1.1027,Probable Antigen
0.1296,Probable Non-Antigen
-0.0193,Probable Non-Antigen
0.1134,Probable Non-Antigen
0.4616,Probable Non-Antigen
0.7292,Probable Antigen
-0.4976,Probable Non-Antigen
-0.084,Probable Non-Antigen
0.2459,Probable Non-Antigen
0.1574,Probable Non-Antigen
1.1423,Probable Antigen
0.667,Probable Antigen
1.2828,Probable Antigen
0.9478,Probable Antigen
0.3739,Probable Non-Antigen
0.7724,Probable Antigen
0.0859,Probable Non-Antigen
-0.0944,Probable Non-Antigen
0.8957,Probable Antigen
0.5876,Probable Antigen
-0.0848,Probable Non-Antigen
0.0143,Probable Non-Antigen
0.989,Probable Antigen
0.3565,Probable Non-Antigen
0.1269,Probable Non-Antigen
0.0952,Probable Non-Antigen
-0.1383,Probable Non-Antigen
0.8455,Probable Antigen
0.2171,Probable Non-Antigen
0.2413,Probable Non-Antigen
0.4953,Probable Non-Antigen
0.1652,Probable Non-Antigen
-0.1109,Probable Non-Antigen
0.9241,Probable Antigen
0.3016,Probable Non-Antigen
-0.0794,Probable Non-Antigen
0.3676,Probable Non-Antigen
0.2649,Probable Non-Antigen
-0.236,Probable Non-Antigen
0.2931,Probable Non-Antigen
0.5901,Probable Antigen
0.2704,Probable Non-Antigen
0.1356,Probable Non-Antigen
0.5387,Probable Antigen
0.5156,Probable Antigen
0.0158,Probable Non-Antigen
0.3496,Probable Non-Antigen
0.2584,Probable Non-Antigen
-0.0186,Probable Non-Antigen
0.1234,Probable Non-Antigen
0.5206,Probable Antigen
0.5495,Probable Antigen
0.3375,Probable Non-Antigen
0.2779,Probable Non-Antigen
0.939,Probable Antigen
0.0603,Probable Non-Antigen
0.013,Probable Non-Antigen
1.4926,Probable Antigen
0.2958,Probable Non-Antigen
-0.0421,Probable Non-Antigen
0.2477,Probable Non-Antigen
0.2618,Probable Non-Antigen
0.1423,Probable Non-Antigen
0.3222,Probable Non-Antigen
0.6509,Probable Antigen
0.5691,Probable Antigen
0.4102,Probable Non-Antigen
0.4688,Probable Non-Antigen
1.2609,Probable Antigen
0.3458,Probable Non-Antigen
-0.0187,Probable Non-Antigen
0.5948,Probable Antigen
0.3321,Probable Non-Antigen
-0.0513,Probable Non-Antigen
0.962,Probable Antigen
0.3305,Probable Non-Antigen
0.8266,Probable Antigen
0.1598,Probable Non-Antigen
0.9934,Probable Antigen
0.0043,Probable Non-Antigen
-0.0708,Probable Non-Antigen
-0.2951,Probable Non-Antigen
0.5925,Probable Antigen
0.5225,Probable Antigen
0.9243,Probable Antigen
0.2072,Probable Non-Antigen
-0.0305,Probable Non-Antigen
-0.2547,Probable Non-Antigen
1.0331,Probable Antigen
-0.0233,Probable Non-Antigen
0.8108,Probable Antigen
0.2066,Probable Non-Antigen
0.3404,Probable Non-Antigen
1.4626,Probable Antigen
0.2497,Probable Non-Antigen
0.5829,Probable Antigen
0.4358,Probable Non-Antigen
0.026,Probable Non-Antigen
0.1845,Probable Non-Antigen
0.7054,Probable Antigen
0.7123,Probable Antigen
0.1129,Probable Non-Antigen
0.5277,Probable Antigen
0.1655,Probable Non-Antigen
-0.1361,Probable Non-Antigen
-0.2168,Probable Non-Antigen
0.4354,Probable Non-Antigen
0.5501,Probable Antigen
0.2157,Probable Non-Antigen
-0.3688,Probable Non-Antigen
0.9177,Probable Antigen
0.4858,Probable Non-Antigen
-0.0092,Probable Non-Antigen
0.2593,Probable Non-Antigen
0.6398,Probable Antigen
0.5111,Probable Antigen
-0.1397,Probable Non-Antigen
0.4376,Probable Non-Antigen
0.6161,Probable Antigen
1.0189,Probable Antigen
0.6429,Probable Antigen
-0.16,Probable Non-Antigen
0.3763,Probable Non-Antigen
0.8084,Probable Antigen
0.8172,Probable Antigen
0.0231,Probable Non-Antigen
0.2726,Probable Non-Antigen
0.7247,Probable Antigen
0.4403,Probable Non-Antigen
0.2318,Probable Non-Antigen
0.1089,Probable Non-Antigen
0.361,Probable Non-Antigen
0.5932,Probable Antigen
0.6061,Probable Antigen
-0.388,Probable Non-Antigen
-0.2541,Probable Non-Antigen
0.2445,Probable Non-Antigen
-0.1351,Probable Non-Antigen
0.6557,Probable Antigen
0.0761,Probable Non-Antigen
-0.1474,Probable Non-Antigen
1.169,Probable Antigen
0.2671,Probable Non-Antigen
0.7789,Probable Antigen
0.667,Probable Antigen
-0.0064,Probable Non-Antigen
0.2565,Probable Non-Antigen
-0.1911,Probable Non-Antigen
1.1691,Probable Antigen
0.3081,Probable Non-Antigen
0.3187,Probable Non-Antigen
0.2484,Probable Non-Antigen
-0.3851,Probable Non-Antigen
0.3044,Probable Non-Antigen
0.517,Probable Antigen
0.7693,Probable Antigen
0.4249,Probable Non-Antigen
0.2936,Probable Non-Antigen
0.6399,Probable Antigen
