antigenicity_score,antigen_prediction
-0.2357,Probable Non-Antigen
0.1557,Probable Non-Antigen
0.1251,Probable Non-Antigen
-0.429,Probable Non-Antigen
-0.3238,Probable Non-Antigen
0.5131,Probable Antigen
0.92,Probable Antigen
0.7466,Probable Antigen
0.9119,Probable Antigen
0.5909,Probable Antigen
0.3031,Probable Non-Antigen
0.8158,Probable Antigen
0.7839,Probable Antigen
0.3764,Probable Non-Antigen
0.4811,Probable Non-Antigen
0.4717,Probable Non-Antigen
1.0146,Probable Antigen
0.7409,Probable Antigen
0.6339,Probable Antigen
-0.6331,Probable Non-Antigen
0.4714,Probable Non-Antigen
-0.4307,Probable Non-Antigen
1.052,Probable Antigen
0.2939,Probable Non-Antigen
0.0437,Probable Non-Antigen
0.8764,Probable Antigen
0.7073,Probable Antigen
-0.3483,Probable Non-Antigen
0.7137,Probable Antigen
0.7886,Probable Antigen
1.033,Probable Antigen
0.7899,Probable Antigen
0.4968,Probable Non-Antigen
-1.1103,Probable Non-Antigen
0.3934,Probable Non-Antigen
0.4377,Probable Non-Antigen
0.0874,Probable Non-Antigen
0.6144,Probable Antigen
0.4643,Probable Non-Antigen
0.4522,Probable Non-Antigen
-0.1534,Probable Non-Antigen
0.1444,Probable Non-Antigen
1.0675,Probable Antigen
0.2038,Probable Non-Antigen
0.5475,Probable Antigen
1.4726,Probable Antigen
0.906,Probable Antigen
0.4662,Probable Non-Antigen
0.8838,Probable Antigen
0.6704,Probable Antigen
-0.0058,Probable Non-Antigen
0.6401,Probable Antigen
0.4354,Probable Non-Antigen
0.2155,Probable Non-Antigen
1.3561,Probable Antigen
0.068,Probable Non-Antigen
0.2807,Probable Non-Antigen
0.5952,Probable Antigen
0.8126,Probable Antigen
0.0621,Probable Non-Antigen
0.6049,Probable Antigen
0.6904,Probable Antigen
0.4662,Probable Non-Antigen
0.3714,Probable Non-Antigen
1.4091,Probable Antigen
0.1213,Probable Non-Antigen
0.3847,Probable Non-Antigen
-0.0962,Probable Non-Antigen
0.5452,Probable Antigen
0.7348,Probable Antigen
0.5569,Probable Antigen
0.9237,Probable Antigen
0.2559,Probable Non-Antigen
0.2681,Probable Non-Antigen
0.5659,Probable Antigen
0.4601,Probable Non-Antigen
0.6502,Probable Antigen
0.8835,Probable Antigen
-0.4519,Probable Non-Antigen
0.5448,Probable Antigen
0.8436,Probable Antigen
0.6546,Probable Antigen
0.6263,Probable Antigen
-0.2217,Probable Non-Antigen
0.1032,Probable Non-Antigen
0.5767,Probable Antigen
0.6945,Probable Antigen
0.917,Probable Antigen
-0.2188,Probable Non-Antigen
1.1163,Probable Antigen
0.1852,Probable Non-Antigen
0.7675,Probable Antigen
1.0282,Probable Antigen
0.2405,Probable Non-Antigen
0.8927,Probable Antigen
-0.1319,Probable Non-Antigen
0.0453,Probable Non-Antigen
1.2778,Probable Antigen
0.4433,Probable Non-Antigen
0.4448,Probable Non-Antigen
0.5063,Probable Antigen
0.6226,Probable Antigen
0.0285,Probable Non-Antigen
0.8436,Probable Antigen
0.1695,Probable Non-Antigen
-0.1926,Probable Non-Antigen
0.0851,Probable Non-Antigen
0.6584,Probable Antigen
0.5288,Probable Antigen
0.482,Probable Non-Antigen
0.3375,Probable Non-Antigen
0.6959,Probable Antigen
0.8021,Probable Antigen
-0.0039,Probable Non-Antigen
0.2455,Probable Non-Antigen
0.0006,Probable Non-Antigen
0.2505,Probable Non-Antigen
1.1569,Probable Antigen
0.5499,Probable Antigen
-0.1184,Probable Non-Antigen
1.6628,Probable Antigen
0.5137,Probable Antigen
1.246,Probable Antigen
0.2817,Probable Non-Antigen
1.1317,Probable Antigen
0.6013,Probable Antigen
-0.2356,Probable Non-Antigen
0.7952,Probable Antigen
0.4922,Probable Non-Antigen
0.1276,Probable Non-Antigen
0.656,Probable Antigen
0.7023,Probable Antigen
0.6977,Probable Antigen
0.523,Probable Antigen
-0.0412,Probable Non-Antigen
0.1381,Probable Non-Antigen
0.1586,Probable Non-Antigen
0.2402,Probable Non-Antigen
0.3845,Probable Non-Antigen
0.3105,Probable Non-Antigen
0.1052,Probable Non-Antigen
-0.0825,Probable Non-Antigen
0.3045,Probable Non-Antigen
-0.0598,Probable Non-Antigen
0.076,Probable Non-Antigen
0.8468,Probable Antigen
0.6104,Probable Antigen
0.8496,Probable Antigen
0.1036,Probable Non-Antigen
0.4025,Probable Non-Antigen
0.7831,Probable Antigen
0.783,Probable Antigen
0.2087,Probable Non-Antigen
0.6409,Probable Antigen
0.1859,Probable Non-Antigen
-0.1302,Probable Non-Antigen
0.5236,Probable Antigen
0.4019,Probable Non-Antigen
-0.4978,Probable Non-Antigen
0.6641,Probable Antigen
0.474,Probable Non-Antigen
0.6487,Probable Antigen
0.1816,Probable Non-Antigen
0.1417,Probable Non-Antigen
0.058,Probable Non-Antigen
0.504,Probable Antigen
1.0386,Probable Antigen
-0.0342,Probable Non-Antigen
0.1079,Probable Non-Antigen
0.5044,Probable Antigen
0.5539,Probable Antigen
0.2961,Probable Non-Antigen
0.1704,Probable Non-Antigen
0.7792,Probable Antigen
0.7644,Probable Antigen
0.5952,Probable Antigen
1.5932,Probable Antigen
0.8077,Probable Antigen
0.7848,Probable Antigen
0.3127,Probable Non-Antigen
0.9711,Probable Antigen
0.3219,Probable Non-Antigen
0.5446,Probable Antigen
0.6645,Probable Antigen
0.7334,Probable Antigen
1.1811,Probable Antigen
0.1044,Probable Non-Antigen
1.2098,Probable Antigen
0.3404,Probable Non-Antigen
0.0611,Probable Non-Antigen
0.9068,Probable Antigen
0.6799,Probable Antigen
0.0965,Probable Non-Antigen
1.8513,Probable Antigen
0.4899,Probable Non-Antigen
0.6567,Probable Antigen
0.2838,Probable Non-Antigen
1.5753,Probable Antigen
0.1635,Probable Non-Antigen
-0.1899,Probable Non-Antigen
0.4473,Probable Non-Antigen
0.0133,Probable Non-Antigen
0.0916,Probable Non-Antigen
-0.0305,Probable Non-Antigen
0.7138,Probable Antigen
1.0673,Probable Antigen
0.6786,Probable Antigen
0.2328,Probable Non-Antigen
1.5799,Probable Antigen
0.7559,Probable Antigen
0.5817,Probable Antigen
0.6788,Probable Antigen
0.5173,Probable Antigen
0.2027,Probable Non-Antigen
0.3464,Probable Non-Antigen
0.3079,Probable Non-Antigen
0.4578,Probable Non-Antigen
0.0581,Probable Non-Antigen
0.5514,Probable Antigen
0.3473,Probable Non-Antigen
0.7214,Probable Antigen
-0.5211,Probable Non-Antigen
-0.0535,Probable Non-Antigen
0.8931,Probable Antigen
0.4879,Probable Non-Antigen
1.0995,Probable Antigen
1.2707,Probable Antigen
0.0504,Probable Non-Antigen
0.6114,Probable Antigen
0.4805,Probable Non-Antigen
0.1877,Probable Non-Antigen
0.3172,Probable Non-Antigen
0.4195,Probable Non-Antigen
0.7763,Probable Antigen
0.1314,Probable Non-Antigen
0.3754,Probable Non-Antigen
0.9578,Probable Antigen
0.8039,Probable Antigen
0.3358,Probable Non-Antigen
0.5038,Probable Antigen
0.0219,Probable Non-Antigen
-0.0516,Probable Non-Antigen
-0.2346,Probable Non-Antigen
-0.4259,Probable Non-Antigen
0.7748,Probable Antigen
-0.0025,Probable Non-Antigen
0.2791,Probable Non-Antigen
0.738,Probable Antigen
0.0643,Probable Non-Antigen
0.4715,Probable Non-Antigen
0.5244,Probable Antigen
0.5926,Probable Antigen
0.22,Probable Non-Antigen
0.3867,Probable Non-Antigen
0.1499,Probable Non-Antigen
1.2156,Probable Antigen
-0.1412,Probable Non-Antigen
0.7411,Probable Antigen
1.0842,Probable Antigen
1.2022,Probable Antigen
0.5153,Probable Antigen
0.7013,Probable Antigen
0.7946,Probable Antigen
0.6152,Probable Antigen
0.0124,Probable Non-Antigen
0.1152,Probable Non-Antigen
0.6344,Probable Antigen
-0.2279,Probable Non-Antigen
0.3118,Probable Non-Antigen
0.3664,Probable Non-Antigen
0.8278,Probable Antigen
-0.0398,Probable Non-Antigen
-0.4517,Probable Non-Antigen
0.2101,Probable Non-Antigen
-0.0393,Probable Non-Antigen
0.7952,Probable Antigen
0.5508,Probable Antigen
0.5679,Probable Antigen
0.8114,Probable Antigen
0.3653,Probable Non-Antigen
0.4305,Probable Non-Antigen
0.6765,Probable Antigen
-0.0785,Probable Non-Antigen
0.359,Probable Non-Antigen
0.5714,Probable Antigen
-0.033,Probable Non-Antigen
0.0145,Probable Non-Antigen
0.1535,Probable Non-Antigen
0.4937,Probable Non-Antigen
0.2201,Probable Non-Antigen
0.2511,Probable Non-Antigen
1.4135,Probable Antigen
0.2967,Probable Non-Antigen
1.115,Probable Antigen
0.5085,Probable Antigen
0.0825,Probable Non-Antigen
0.4332,Probable Non-Antigen
-0.1729,Probable Non-Antigen
0.6556,Probable Antigen
-0.4045,Probable Non-Antigen
0.3809,Probable Non-Antigen
0.0343,Probable Non-Antigen
0.4669,Probable Non-Antigen
-0.0867,Probable Non-Antigen
0.8219,Probable Antigen
0.6576,Probable Antigen
0.0832,Probable Non-Antigen
0.4031,Probable Non-Antigen
0.4452,Probable Non-Antigen
0.4077,Probable Non-Antigen
0.6982,Probable Antigen
-0.0146,Probable Non-Antigen
0.0618,Probable Non-Antigen
0.9862,Probable Antigen
0.5504,Probable Antigen
0.4148,Probable Non-Antigen
1.0879,Probable Antigen
0.5382,Probable Antigen
0.8771,Probable Antigen
0.5674,Probable Antigen
1.665,Probable Antigen
0.687,Probable Antigen
0.8407,Probable Antigen
0.1375,Probable Non-Antigen
0.5044,Probable Antigen
0.5205,Probable Antigen
0.1698,Probable Non-Antigen
0.8467,Probable Antigen
0.2097,Probable Non-Antigen
0.4662,Probable Non-Antigen
0.5358,Probable Antigen
0.8658,Probable Antigen
0.2555,Probable Non-Antigen
-0.2375,Probable Non-Antigen
0.0933,Probable Non-Antigen
0.2692,Probable Non-Antigen
0.4515,Probable Non-Antigen
0.1608,Probable Non-Antigen
1.298,Probable Antigen
-0.2246,Probable Non-Antigen
0.4904,Probable Non-Antigen
-0.2941,Probable Non-Antigen
0.6713,Probable Antigen
0.0963,Probable Non-Antigen
-0.234,Probable Non-Antigen
1.0463,Probable Antigen
-0.3688,Probable Non-Antigen
0.3502,Probable Non-Antigen
0.7071,Probable Antigen
0.609,Probable Antigen
0.4867,Probable Non-Antigen
0.7329,Probable Antigen
0.9486,Probable Antigen
1.0258,Probable Antigen
0.9653,Probable Antigen
0.8103,Probable Antigen
0.2479,Probable Non-Antigen
0.8066,Probable Antigen
0.3355,Probable Non-Antigen
-0.1478,Probable Non-Antigen
0.4955,Probable Non-Antigen
0.866,Probable Antigen
-0.4503,Probable Non-Antigen
0.2463,Probable Non-Antigen
0.9155,Probable Antigen
0.1577,Probable Non-Antigen
0.7082,Probable Antigen
0.9131,Probable Antigen
0.9418,Probable Antigen
0.5296,Probable Antigen
0.2611,Probable Non-Antigen
0.4587,Probable Non-Antigen
0.4108,Probable Non-Antigen
1.5978,Probable Antigen
0.3411,Probable Non-Antigen
0.821,Probable Antigen
0.4923,Probable Non-Antigen
0.9362,Probable Antigen
0.236,Probable Non-Antigen
0.1557,Probable Non-Antigen
0.5467,Probable Antigen
0.8845,Probable Antigen
0.7107,Probable Antigen
0.052,Probable Non-Antigen
0.6299,Probable Antigen
1.7917,Probable Antigen
0.583,Probable Antigen
0.9008,Probable Antigen
0.7229,Probable Antigen
0.0913,Probable Non-Antigen
0.4063,Probable Non-Antigen
1.1505,Probable Antigen
0.4437,Probable Non-Antigen
-0.0278,Probable Non-Antigen
0.3303,Probable Non-Antigen
0.0044,Probable Non-Antigen
0.7032,Probable Antigen
0.7164,Probable Antigen
-0.2824,Probable Non-Antigen
0.2755,Probable Non-Antigen
0.7655,Probable Antigen
1.2257,Probable Antigen
0.4034,Probable Non-Antigen
0.2565,Probable Non-Antigen
-0.3978,Probable Non-Antigen
0.95,Probable Antigen
0.2458,Probable Non-Antigen
0.8325,Probable Antigen
0.8718,Probable Antigen
-1.0499,Probable Non-Antigen
0.7593,Probable Antigen
0.4355,Probable Non-Antigen
0.1738,Probable Non-Antigen
0.2371,Probable Non-Antigen
0.1012,Probable Non-Antigen
0.4804,Probable Non-Antigen
0.5877,Probable Antigen
0.7984,Probable Antigen
0.7274,Probable Antigen
0.8418,Probable Antigen
0.2129,Probable Non-Antigen
-0.0543,Probable Non-Antigen
0.2816,Probable Non-Antigen
0.0313,Probable Non-Antigen
-0.1733,Probable Non-Antigen
-0.1918,Probable Non-Antigen
-0.1475,Probable Non-Antigen
0.3191,Probable Non-Antigen
-0.0554,Probable Non-Antigen
0.4065,Probable Non-Antigen
0.3832,Probable Non-Antigen
0.5599,Probable Antigen
0.0086,Probable Non-Antigen
0.7914,Probable Antigen
0.5478,Probable Antigen
0.9248,Probable Antigen
0.3335,Probable Non-Antigen
-0.0615,Probable Non-Antigen
0.3072,Probable Non-Antigen
-0.1957,Probable Non-Antigen
0.6359,Probable Antigen
0.7327,Probable Antigen
0.8791,Probable Antigen
0.3854,Probable Non-Antigen
0.2608,Probable Non-Antigen
-0.0849,Probable Non-Antigen
0.3407,Probable Non-Antigen
0.5975,Probable Antigen
1.0112,Probable Antigen
-0.0944,Probable Non-Antigen
1.1578,Probable Antigen
0.6873,Probable Antigen
-0.1779,Probable Non-Antigen
0.7457,Probable Antigen
0.2436,Probable Non-Antigen
0.2913,Probable Non-Antigen
0.1847,Probable Non-Antigen
0.5336,Probable Antigen
0.4667,Probable Non-Antigen
0.5307,Probable Antigen
0.1271,Probable Non-Antigen
0.328,Probable Non-Antigen
0.5924,Probable Antigen
0.1118,Probable Non-Antigen
0.4865,Probable Non-Antigen
0.1581,Probable Non-Antigen
0.5658,Probable Antigen
0.7226,Probable Antigen
0.1222,Probable Non-Antigen
0.6261,Probable Antigen
0.7185,Probable Antigen
0.487,Probable Non-Antigen
0.381,Probable Non-Antigen
0.4158,Probable Non-Antigen
0.611,Probable Antigen
0.2827,Probable Non-Antigen
0.209,Probable Non-Antigen
0.4883,Probable Non-Antigen
0.4501,Probable Non-Antigen
0.2898,Probable Non-Antigen
0.9395,Probable Antigen
0.2576,Probable Non-Antigen
0.5963,Probable Antigen
0.6973,Probable Antigen
0.3237,Probable Non-Antigen
0.1901,Probable Non-Antigen
0.4,Probable Non-Antigen
0.7639,Probable Antigen
0.2578,Probable Non-Antigen
0.7556,Probable Antigen
0.7522,Probable Antigen
0.3727,Probable Non-Antigen
0.6534,Probable Antigen
0.4519,Probable Non-Antigen
-0.1811,Probable Non-Antigen
-0.6219,Probable Non-Antigen
0.0653,Probable Non-Antigen
0.2909,Probable Non-Antigen
1.0335,Probable Antigen
0.2824,Probable Non-Antigen
-0.0116,Probable Non-Antigen
-0.0131,Probable Non-Antigen
0.3324,Probable Non-Antigen
0.7925,Probable Antigen
-0.2714,Probable Non-Antigen
0.2747,Probable Non-Antigen
0.4159,Probable Non-Antigen
0.1471,Probable Non-Antigen
0.2205,Probable Non-Antigen
0.659,Probable Antigen
0.0143,Probable Non-Antigen
0.4791,Probable Non-Antigen
0.3211,Probable Non-Antigen
0.3909,Probable Non-Antigen
0.1537,Probable Non-Antigen
0.3024,Probable Non-Antigen
0.1634,Probable Non-Antigen
0.4578,Probable Non-Antigen
0.711,Probable Antigen
0.3632,Probable Non-Antigen
0.5621,Probable Antigen
0.6308,Probable Antigen
0.7753,Probable Antigen
0.6086,Probable Antigen
1.1613,Probable Antigen
0.9524,Probable Antigen
1.1763,Probable Antigen
0.7659,Probable Antigen
0.183,Probable Non-Antigen
0.1513,Probable Non-Antigen
0.5767,Probable Antigen
1.0541,Probable Antigen
0.4852,Probable Non-Antigen
0.5161,Probable Antigen
0.3386,Probable Non-Antigen
0.804,Probable Antigen
0.7215,Probable Antigen
0.4418,Probable Non-Antigen
-0.1835,Probable Non-Antigen
0.1648,Probable Non-Antigen
0.5575,Probable Antigen
0.2622,Probable Non-Antigen
0.319,Probable Non-Antigen
0.1453,Probable Non-Antigen
0.0686,Probable Non-Antigen
-0.0371,Probable Non-Antigen
0.5433,Probable Antigen
0.1256,Probable Non-Antigen
0.438,Probable Non-Antigen
0.0053,Probable Non-Antigen
0.6448,Probable Antigen
0.6921,Probable Antigen
1.2664,Probable Antigen
0.9772,Probable Antigen
0.6304,Probable Antigen
-0.1493,Probable Non-Antigen
0.41,Probable Non-Antigen
-0.3817,Probable Non-Antigen
0.8881,Probable Antigen
-0.1632,Probable Non-Antigen
0.7079,Probable Antigen
